Graph #1

Error development during early validation

Epochs, Cost/error
0, 0.105011947273
1, 0.0896145557272
2, 0.0791701533052
3, 0.0722185921375
4, 0.0672906615296
5, 0.0635700268587
6, 0.0606258407054
7, 0.0582116140138
8, 0.0561758439771
9, 0.0544207197524
10, 0.0528805918982
11, 0.051509793002
12, 0.0502754566984
13, 0.0491531808724
14, 0.0481243503955
15, 0.0471744402631
16, 0.0462919059767
17, 0.0454674331513
18, 0.0446934132971
19, 0.0439635669586
20, 0.0432726663228
21, 0.0426163272211
22, 0.0419908509024
23, 0.0413931022808
24, 0.0408204153212
25, 0.0402705188049
26, 0.0397414774562
27, 0.0392316446293
28, 0.0387396236343
29, 0.0382642354421
30, 0.037804491023
31, 0.0373595669907
32, 0.0369287835731
33, 0.0365115842304
34, 0.0361075164985
35, 0.0357162138492
36, 0.0353373785333
37, 0.0349707654952
38, 0.0346161675302
39, 0.0342734018851
40, 0.0339422984968
41, 0.0336226900221
42, 0.0333144037455
43, 0.0330172553799
44, 0.0327310446933
45, 0.0324555528295
46, 0.0321905411321
47, 0.0319357512454
48, 0.0316909062469
49, 0.0314557125624
50, 0.0312298624303
51, 0.0310130367022
52, 0.0308049077987
53, 0.0306051426716
54, 0.0304134056579
55, 0.0302293611412
56, 0.0300526759638
57, 0.0298830215587
58, 0.0297200757853
59, 0.0295635244711
60, 0.0294130626695
61, 0.0292683956533
62, 0.0291292396656
63, 0.0289953224537
64, 0.0288663836117
65, 0.0287421747577
66, 0.0286224595681
67, 0.0285070136933
68, 0.0283956245734
69, 0.028288091173
70, 0.0281842236518
71, 0.0280838429833
72, 0.0279867805367
73, 0.0278928776304
74, 0.0278019850671
75, 0.0277139626594
76, 0.0276286787502
77, 0.0275460097361
78, 0.0274658395956
79, 0.0273880594288
80, 0.0273125670092
81, 0.0272392663508
82, 0.0271680672931
83, 0.0270988851039
84, 0.0270316401021
85, 0.0269662572998
86, 0.0269026660653
87, 0.0268407998058
88, 0.0267805956703
89, 0.0267219942717
90, 0.0266649394281
91, 0.0266093779224
92, 0.0265552592796
93, 0.0265025355604
94, 0.026451161171
95, 0.0264010926878
96, 0.0263522886966
97, 0.0263047096445
98, 0.0262583177044
99, 0.026213076651

===========================

Graph #2

Error development during training

Epochs, Cost/error
0, 0.0964238830858
1, 0.0742539836043
2, 0.0608925889294
3, 0.0528474951203
4, 0.0475601499399
5, 0.0437508265129
6, 0.040821266998
7, 0.0384679681556
8, 0.0365188114955
9, 0.0348667440748
10, 0.0334406112555
11, 0.0321908383212
12, 0.0310816547455
13, 0.0300865257525
14, 0.0291853097997
15, 0.0283624143897
16, 0.0276055608302
17, 0.0269049352501
18, 0.0262525920932
19, 0.0256420267424
20, 0.0250678638692
21, 0.0245256264783
22, 0.0240115621925
23, 0.0235225107627
24, 0.0230558016543
25, 0.0226091738064
26, 0.0221807118558
27, 0.0217687946401
28, 0.0213720528716
29, 0.0209893336574
30, 0.0206196701344
31, 0.0202622549411
32, 0.0199164166124
33, 0.0195815982771
34, 0.0192573382643
35, 0.0189432524123
36, 0.0186390179982
37, 0.0183443592968
38, 0.01805903482
39, 0.0177828262943
40, 0.017515529415
41, 0.017256946374
42, 0.0170068801066
43, 0.0167651301491
44, 0.0165314899527
45, 0.0163057454608
46, 0.0160876747353
47, 0.0158770484081
48, 0.0156736307419
49, 0.0154771810991
50, 0.0152874556427
51, 0.0151042091245
52, 0.0149271966453
53, 0.0147561753023
54, 0.0145909056675
55, 0.0144311530641
56, 0.0142766886262
57, 0.0141272901439
58, 0.0139827427039
59, 0.0138428391446
60, 0.013707380348
61, 0.0135761753917
62, 0.0134490415839
63, 0.0133258044048
64, 0.0132062973728
65, 0.0130903618543
66, 0.0129778468307
67, 0.0128686086358
68, 0.0127625106734
69, 0.0126594231229
70, 0.0125592226393
71, 0.0124617920527
72, 0.01236702007
73, 0.0122748009824
74, 0.0121850343803
75, 0.0120976248765
76, 0.012012481839
77, 0.0119295191346
78, 0.011848654882
79, 0.0117698112162
80, 0.0116929140638
81, 0.0116178929284
82, 0.0115446806875
83, 0.0114732133993
84, 0.0114034301196
85, 0.0113352727299
86, 0.0112686857739
87, 0.0112036163046
88, 0.0111400137402
89, 0.0110778297291
90, 0.0110170180226
91, 0.010957534357
92, 0.0108993363424
93, 0.0108423833592
94, 0.0107866364609
95, 0.0107320582841
96, 0.0106786129638
97, 0.0106262660545
98, 0.0105749844559
99, 0.010524736344

===========================

Graph #3

Error development during late testing

Epochs, Cost/error
0, 0.00534706423797
1, 0.00501564898424
2, 0.00484948357322
3, 0.00474032377124
4, 0.00465956965458
5, 0.0045955886204
6, 0.00454251568769
7, 0.00449699026685
8, 0.00445692093273
9, 0.00442093110983
10, 0.00438807798698
11, 0.00435769637501
12, 0.00432930579787
13, 0.00430255226674
14, 0.00427717033621
15, 0.00425295763907
16, 0.00422975740999
17, 0.00420744628364
18, 0.0041859256576
19, 0.00416511550871
20, 0.00414494992117
21, 0.00412537382241
22, 0.00410634057874
23, 0.00408781020806
24, 0.00406974803855
25, 0.00405212369206
26, 0.00403491030568
27, 0.00401808392916
28, 0.00400162305343
29, 0.00398550823743
30, 0.00396972180947
31, 0.00395424762567
32, 0.00393907087229
33, 0.0039241779025
34, 0.00390955610005
35, 0.00389519376458
36, 0.00388108001413
37, 0.00386720470168
38, 0.00385355834322
39, 0.00384013205527
40, 0.00382691750036
41, 0.0038139068391
42, 0.00380109268789
43, 0.00378846808147
44, 0.0037760264395
45, 0.00376376153672
46, 0.00375166747619
